"province","year","scope1_total","gdp_100m_yuan","ci","ln_ci","d_ln_ci"
"Anhui",2008,225.01719107877,9691.2,0.0232187129642118,-3.76279673214643,NA
"Anhui",2009,251.514180883537,11063.3,0.0227341011166231,-3.78388922991265,-0.0210924977662175
"Anhui",2010,271.441019300864,13474.6,0.0201446439449679,-3.9048168351057,-0.120927605193057
"Anhui",2011,294.086138977077,16532.7,0.0177881494841785,-4.02922280271606,-0.124405967610357
"Anhui",2012,323.996268044684,18613.7,0.0174063334019934,-4.05092115036913,-0.0216983476530723
"Anhui",2013,356.731602392095,20888.2,0.0170781399255127,-4.06995600021065,-0.0190348498415203
"Anhui",2014,363.273619744077,22880.7,0.0158768577772567,-4.14289271571131,-0.0729367155006573
"Anhui",2015,363.910930096453,24142.7,0.0150733319014217,-4.19482819579678,-0.0519354800854677
"Anhui",2016,376.145390022595,26801.2,0.0140346473300671,-4.26622619737377,-0.0713980015769904
"Anhui",2017,382.216441009587,30141.8,0.0126806110122683,-4.36768114404662,-0.101454946672849
"Anhui",2018,398.984276534446,34377.3,0.0116060387678627,-4.45622973288993,-0.0885485888433104
"Anhui",2019,408.064341069902,37584.8,0.010857164094791,-4.52293013165386,-0.0667003987639321
"Anhui",2020,416.010891222511,38628.8,0.0107694489920088,-4.531041950496,-0.00811181884213674
"Anhui",2021,433.784081892224,43102.8,0.0100639420615882,-4.59879633603703,-0.0677543855410301
"Beijing",2008,99.2089234111102,12167.6,0.00815353261211005,-4.80930399630274,NA
"Beijing",2009,100.387283210589,13335.7,0.00752771007225637,-4.8891643906904,-0.0798603943876603
"Beijing",2010,105.039650371145,15420.2,0.00681182153092341,-4.98909571574343,-0.0999313250530278
"Beijing",2011,95.3108176229784,17653.3,0.00539903687259484,-5.22153469824628,-0.232438982502853
"Beijing",2012,97.9980408292761,19568.3,0.00500799971531896,-5.2967187020296,-0.0751840037833178
"Beijing",2013,94.0709773939929,21746,0.00432589797636314,-5.44313553555666,-0.146416833527066
"Beijing",2014,93.2554508516599,23577.5,0.00395527307185494,-5.5327056354292,-0.0895700998725344
"Beijing",2015,92.7630015275807,26034.1,0.00356313456303774,-5.63711462629142,-0.10440899086222
"Beijing",2016,89.9818130265404,28438.7,0.0031640621064444,-5.75589860017823,-0.11878397388681
"Beijing",2017,86.7693207482269,31325.9,0.00276989075328169,-5.88894739880913,-0.133048798630898
"Beijing",2018,89.6908869104849,35161.4,0.0025508337810919,-5.9713350002786,-0.082387601469474
"Beijing",2019,89.1844836918383,37767,0.0023614394495681,-6.04848390962247,-0.0771489093438689
"Beijing",2020,76.784842539326,38503.6,0.00199422502153892,-6.21749976449208,-0.169015854869615
"Beijing",2021,79.8804284598569,44350.7,0.00180110862872191,-6.31935289882606,-0.101853134333975
"Chongqing",2008,126.253214825281,5978.8,0.0211168152179836,-3.85768562611777,NA
"Chongqing",2009,133.081070122882,6744.1,0.01973296216291,-3.92546483524918,-0.0677792091314027
"Chongqing",2010,145.415738179309,8186.5,0.0177628703572111,-4.03064493526475,-0.105180100015578
"Chongqing",2011,166.60567953002,10314.1,0.0161531960646125,-4.12563735015523,-0.0949924148904726
"Chongqing",2012,171.645829074773,11797.8,0.0145489692209372,-4.23023513179603,-0.104597781640801
"Chongqing",2013,149.1216010324,13275.8,0.0112325886976604,-4.48893602053118,-0.258700888735157
"Chongqing",2014,162.896787095497,14911.7,0.010924092296351,-4.51678462645443,-0.0278486059232455
"Chongqing",2015,164.196692636106,16305.9,0.0100697718394021,-4.59821722996594,-0.0814326035115123
"Chongqing",2016,156.581973158609,18271.1,0.00856992590257888,-4.75949619254998,-0.16127896258404
"Chongqing",2017,160.549765854695,20260.8,0.00792415728178034,-4.83783930155681,-0.0783431090068252
"Chongqing",2018,160.604331929589,21866.8,0.00734466551711218,-4.91378100924793,-0.0759417076911211
"Chongqing",2019,156.254672987242,23689.6,0.00659591858820924,-5.02130421696113,-0.107523207713204
"Chongqing",2020,152.856436390421,25158.1,0.00607583388214616,-5.10343603462463,-0.0821318176635017
"Chongqing",2021,165.278990958458,28092.5,0.00588338492332323,-5.13562301547258,-0.0321869808479445
"Fujian",2008,165.749858269307,11104.2,0.0149267716962327,-4.20459892013329,NA
"Fujian",2009,187.81732356593,12625.1,0.0148765018547125,-4.20797236762438,-0.00337344749109203
"Fujian",2010,201.083855900237,15236.6,0.0131974230405889,-4.32773369264634,-0.119761325021962
"Fujian",2011,238.136722020578,18195.2,0.0130878870262805,-4.3360681310141,-0.00833443836775505
"Fujian",2012,233.895088802395,20510.8,0.011403508824736,-4.47383417929631,-0.137766048282209
"Fujian",2013,236.147444628453,22851.7,0.0103339114651625,-4.57232441648862,-0.0984902371923084
"Fujian",2014,249.349727343584,25329.4,0.00984428084927332,-4.62086461686504,-0.0485402003764257
"Fujian",2015,234.241725891319,27307.5,0.00857792642648793,-4.75856306992494,-0.137698453059897
"Fujian",2016,217.92651916448,30199.2,0.00721630106640177,-4.93141277502983,-0.172849705104888
"Fujian",2017,234.969800629697,34432.2,0.00682412975731139,-4.9872904541272,-0.0558776790973772
"Fujian",2018,261.455608976857,39204.8,0.00666896933479719,-5.0102899535136,-0.0229994993863984
"Fujian",2019,278.109292120749,42479.1,0.00654696761750482,-5.02875329569323,-0.0184633421796239
"Fujian",2020,275.817783016871,43682,0.00631422057178862,-5.06495095569208,-0.0361976599988498
"Fujian",2021,299.81699280247,49602.6,0.00604438059300258,-5.10862626616992,-0.0436753104778402
"Gansu",2008,103.347354062962,3112.5,0.0332039691768553,-3.40508585668591,NA
"Gansu",2009,100.81326106755,3313.8,0.0304222527212113,-3.49258094094113,-0.0874950842552202
"Gansu",2010,127.587063357325,3987.7,0.0319951509284361,-3.44217092115114,0.0504100197899904
"Gansu",2011,140.316128685476,4880.7,0.0287491812005401,-3.54914599212555,-0.106975070974413
"Gansu",2012,154.249052105961,5469.1,0.0282037359174199,-3.56830083047155,-0.0191548383459978
"Gansu",2013,160.898870901168,6108.3,0.0263410230180522,-3.63662774446707,-0.0683269139955178
"Gansu",2014,164.619292016312,6629.4,0.0248317030223416,-3.69563409452684,-0.0590063500597751
"Gansu",2015,160.084998474831,6793.4,0.023564783241798,-3.74800191695989,-0.0523678224330433
"Gansu",2016,153.935134115742,7207.1,0.0213588175709706,-3.84629062358671,-0.0982887066268199
"Gansu",2017,151.9586686043,7642.6,0.0198831115856254,-3.91788457160982,-0.0715939480231098
"Gansu",2018,162.990319036382,8364.7,0.0194854948816314,-3.9380849424318,-0.020200370821986
"Gansu",2019,164.488402642656,9053.3,0.0181688889844207,-4.00804454404503,-0.069959601613228
"Gansu",2020,175.86981328525,9323.1,0.0188638771744645,-3.97050644631601,0.0375380977290209
"Gansu",2021,189.452544765254,10608,0.0178594027870714,-4.02522514266669,-0.0547186963506832
"Guangdong",2008,416.922575400553,37351.5,0.011162137408151,-4.49522781633949,NA
"Guangdong",2009,437.572791098939,40215.7,0.0108806458944874,-4.52076967401424,-0.0255418576747477
"Guangdong",2010,476.841155683971,46821.3,0.0101842784306282,-4.58691007809407,-0.0661404040798326
"Guangdong",2011,526.26369382227,54009.6,0.00974389171225616,-4.63111468135055,-0.0442046032564845
"Guangdong",2012,513.440316916306,58057.6,0.00884363661116385,-4.72805710557332,-0.0969424242227657
"Guangdong",2013,506.564296763958,63757.3,0.00794519681297605,-4.83518770737126,-0.107130601797941
"Guangdong",2014,513.873692640581,69593.4,0.00738394291183619,-4.9084475131446,-0.0732598057733416
"Guangdong",2015,515.079784941778,75820.8,0.0067933836749517,-4.99180612943881,-0.0833586162942117
"Guangdong",2016,530.315417799062,83493.4,0.00635158488933332,-5.05905090834827,-0.0672447789094566
"Guangdong",2017,556.859016875458,93004.8,0.00598742233600264,-5.11809428735175,-0.0590433790034837
"Guangdong",2018,567.506958593013,101875.9,0.00557057124003825,-5.19025767374168,-0.0721633863899269
"Guangdong",2019,569.119531239861,110468.1,0.00515189028542956,-5.26839158593681,-0.0781339121951348
"Guangdong",2020,566.571828771506,113708.9,0.00498265156704098,-5.30179308646223,-0.0334015005254171
"Guangdong",2021,629.737181952066,127577.4,0.00493611863819192,-5.3111759573778,-0.009382870915565
"Guangxi",2008,132.978157912084,6561.9,0.0202651911659861,-3.89885058563839,NA
"Guangxi",2009,151.784671539526,7243.4,0.0209548929424753,-3.86538310654321,0.033467479095171
"Guangxi",2010,174.605332917501,8712,0.0200419344487489,-3.90992847804545,-0.044545371502231
"Guangxi",2011,195.174900080022,10472.7,0.0186365407277992,-3.98263107021998,-0.0727025921745295
"Guangxi",2012,208.200895179005,11496.6,0.0181097798635253,-4.01130316268111,-0.0286720924611306
"Guangxi",2013,213.714454543513,12680.6,0.0168536547595156,-4.08318774602858,-0.0718845833474786
"Guangxi",2014,212.202669201886,13856.7,0.0153140841038549,-4.17898234434763,-0.0957945983190429
"Guangxi",2015,203.064907764268,15030.2,0.0135104594592399,-4.30429111876227,-0.125308774414639
"Guangxi",2016,216.804331970364,16417.2,0.0132059262219114,-4.32708959393509,-0.022798475172821
"Guangxi",2017,227.891583621917,18071.7,0.0126104120598459,-4.37323245231113,-0.0461428583760473
"Guangxi",2018,231.832855362296,19951.7,0.01161970435413,-4.455052970728,-0.0818205184168672
"Guangxi",2019,246.71670901614,21341.5,0.0115604202617501,-4.46016806157605,-0.00511509084805084
"Guangxi",2020,268.097057787973,22250.7,0.0120489269006356,-4.41877967690017,0.0413883846758862
"Guangxi",2021,288.032283915962,25311.5,0.0113795027523443,-4.47594154611169,-0.0571618692115212
"Guizhou",2008,163.400303435695,3551.3,0.0460114052419381,-3.07886597318296,NA
"Guizhou",2009,184.703207410405,3910.7,0.0472302164345014,-3.05272141252053,0.0261445606624298
"Guizhou",2010,192.423046154853,4583.7,0.0419798516820151,-3.17056549765889,-0.117844085138362
"Guizhou",2011,212.560059026876,5690.5,0.037353494249517,-3.2873288175753,-0.116763319916402
"Guizhou",2012,232.278423232586,6828.1,0.034018017198428,-3.3808649771219,-0.0935361595466038
"Guizhou",2013,235.471178574759,8079.9,0.0291428332745156,-3.53554625320529,-0.154681276083387
"Guizhou",2014,233.310798821335,9297.5,0.0250939283486244,-3.68512936056773,-0.149583107362443
"Guizhou",2015,234.981365727498,10887.1,0.0215834671976466,-3.83582766488227,-0.150698304314538
"Guizhou",2016,250.96647495998,12133.9,0.0206830841658477,-3.87843910284829,-0.0426114379660203
"Guizhou",2017,257.657766063325,14067.3,0.0183160781431636,-3.99997601780834,-0.121536914960047
"Guizhou",2018,252.723882267391,15886.6,0.0159079905245547,-4.14093374727713,-0.140957729468795
"Guizhou",2019,261.129235274056,17251.8,0.0151363472376248,-4.19065632576076,-0.0497225784836282
"Guizhou",2020,252.777299138472,18308.3,0.0138067051085285,-4.28260092738959,-0.0919446016288346
"Guizhou",2021,265.862994397807,19921.3,0.0133456649113164,-4.31656367261479,-0.0339627452251987
"Hainan",2008,24.847157427525,1502,0.0165427146654627,-4.1018094755588,NA
"Hainan",2009,26.9971309139227,1652.2,0.0163401107093104,-4.11413241421764,-0.0123229386588433
"Hainan",2010,28.9259265393762,2073.7,0.0139489446590038,-4.27235142526081,-0.15821901104317
"Hainan",2011,34.9217137645575,2525.1,0.0138298339727367,-4.2809271382411,-0.00857571298029658
"Hainan",2012,37.2641984261996,2863.6,0.0130130599337197,-4.34180181551767,-0.06087467727657
"Hainan",2013,39.4744218062855,3201.9,0.0123284368051112,-4.39584674963946,-0.054044934121781
"Hainan",2014,40.7360642472776,3541.2,0.0115034633026312,-4.46510713220098,-0.069260382561529
"Hainan",2015,42.2815165487586,3782.7,0.0111776023868556,-4.4938432898126,-0.0287361576116147
"Hainan",2016,39.8545876643642,4151,0.00960120155730286,-4.64586702612144,-0.152023736308836
"Hainan",2017,42.1565919778165,4552.9,0.00925928352869962,-4.6821286060281,-0.0362615799066601
"Hainan",2018,42.193660219002,5004.2,0.00843164945825546,-4.77576286083484,-0.093634254806747
"Hainan",2019,43.0670842557787,5442.1,0.00791368851284958,-4.83916129579658,-0.0633984349617336
"Hainan",2020,40.2500039390283,5640.8,0.00713551339154523,-4.9426710766762,-0.103509780879628
"Hainan",2021,45.6527151872245,6508.9,0.00701389100880709,-4.95986266647711,-0.0171915898009098
"Hebei",2008,554.430384715875,14403.8,0.03849195245115,-3.25730608678049,NA
"Hebei",2009,577.793798461794,15540.3,0.0371803503447034,-3.29197487379877,-0.0346687870182776
"Hebei",2010,681.786154484037,18254.1,0.0373497545474188,-3.28742893911383,0.00454593468494524
"Hebei",2011,760.702268495208,21711.7,0.0350365134234172,-3.35136452062103,-0.0639355815072062
"Hebei",2012,751.775479722807,23437.3,0.0320760275169413,-3.43964633417074,-0.088281813549711
"Hebei",2013,823.113467710854,24659.1,0.0333797043570468,-3.39980721767662,0.0398391164941221
"Hebei",2014,791.427959974341,25644.1,0.0308619900863879,-3.47822994655708,-0.0784227288804566
"Hebei",2015,788.413061680606,26744.1,0.0294798875894349,-3.52404702478106,-0.0458170782239851
"Hebei",2016,807.559341643905,28879.7,0.0279628715548951,-3.57687766464057,-0.0528306398595118
"Hebei",2017,792.325769961344,31065.5,0.0255050061953403,-3.66888052470038,-0.09200286005981
"Hebei",2018,912.204315673728,32947,0.027687022055839,-3.58679149341737,0.0820890312830169
"Hebei",2019,914.209118220385,35623.5,0.025663090887206,-3.66270147158483,-0.0759099781674637
"Hebei",2020,939.363100318423,36821.5,0.0255112665241346,-3.66863509991758,-0.00593362833275179
"Hebei",2021,885.506551930991,41205.4,0.0214900608155968,-3.84016473838306,-0.171529638465477
"Heilongjiang",2008,197.337011408439,7215.1,0.027350558053033,-3.59901834618947,NA
"Heilongjiang",2009,203.168793935824,7315.8,0.0277712340326177,-3.58375454103398,0.0152638051554916
"Heilongjiang",2010,224.858880023244,8434.7,0.0266587881042888,-3.62463642271833,-0.0408818816843484
"Heilongjiang",2011,254.786700147896,10074,0.0252915128199222,-3.67728640119167,-0.0526499784733359
"Heilongjiang",2012,279.462101035408,11171,0.0250167488170628,-3.68820972574954,-0.0109233245578757
"Heilongjiang",2013,266.448903072293,12017,0.0221726639820498,-3.8088951010008,-0.120685375251263
"Heilongjiang",2014,277.886893097565,12357.1,0.0224880346600387,-3.79477190411092,0.0141231968898867
"Heilongjiang",2015,273.277810063456,12023.2,0.0227292077037275,-3.78410449857837,0.0106674055325491
"Heilongjiang",2016,277.680735215449,12280.9,0.0226107805792287,-3.7893284696602,-0.00522397108183403
"Heilongjiang",2017,276.910844390516,12659.5,0.0218737583941322,-3.82246760747471,-0.0331391378145023
"Heilongjiang",2018,255.097544445641,13205.7,0.0193172300177682,-3.9467578342983,-0.124290226823591
"Heilongjiang",2019,280.915533227684,13962.5,0.0201192861756623,-3.90607641272678,0.040681421571521
"Heilongjiang",2020,273.059349294109,14000.1,0.0195040999202941,-3.93713058318959,-0.0310541704628102
"Heilongjiang",2021,287.536209240492,15292.8,0.0188020643204967,-3.97378861089254,-0.0366580277029569
"Henan",2008,435.562415162985,17541.9,0.0248298311564303,-3.69570947946785,NA
"Henan",2009,450.725563619481,19077.1,0.0236265241372893,-3.74538529393556,-0.0496758144677063
"Henan",2010,513.611844093879,22568.2,0.0227582104064072,-3.7828293017079,-0.0374440077723404
"Henan",2011,556.076005337778,26212.2,0.0212143965534285,-3.85307524506761,-0.0702459433597098
"Henan",2012,529.24561575855,28878.5,0.0183266310839742,-3.99940002649519,-0.146324781427586
"Henan",2013,492.902326599886,31621.4,0.0155876187202301,-4.16127835163096,-0.161878325135765
"Henan",2014,544.977304594756,34611.2,0.0157456922786484,-4.15118845723768,0.0100898943932828
"Henan",2015,527.430556857648,36798.2,0.0143330531617755,-4.2451869990006,-0.0939985417629199
"Henan",2016,521.471900453752,40167.7,0.0129823689296064,-4.34416307822541,-0.0989760792248093
"Henan",2017,501.855728451092,44586.5,0.0112557776109605,-4.48687371674258,-0.142710638517174
"Henan",2018,490.678165317225,50273.5,0.00976017514828338,-4.62944493319732,-0.142571216454736
"Henan",2019,460.630819265504,53739.3,0.00857158205011051,-4.75930296012943,-0.129858026932115
"Henan",2020,473.656993991204,54160.6,0.00874541629877076,-4.73922556743984,0.0200773926895899
"Henan",2021,483.738032028413,57806.9,0.00836817113577121,-4.7833199206532,-0.0440943532133637
"Hubei",2008,253.979778858475,11707.8,0.0216932112658633,-3.83075591227299,NA
"Hubei",2009,275.184381931394,13422.6,0.0205015706294901,-3.88725377969995,-0.0564978674269607
"Hubei",2010,337.658567616621,16489.1,0.0204776832948203,-3.88841960557952,-0.00116582587957748
"Hubei",2011,384.299869954061,20228.3,0.0189981298455165,-3.96341473384351,-0.0749951282639851
"Hubei",2012,376.939645486438,22921,0.0164451658080554,-4.10772371681029,-0.144308982966777
"Hubei",2013,319.455591872287,25851.7,0.0123572373140755,-4.3935133702152,-0.285789653404917
"Hubei",2014,320.145863526445,28805.9,0.0111138990111902,-4.49955879079605,-0.106045420580841
"Hubei",2015,317.996539327078,30661.6,0.0103711658663305,-4.56872583622016,-0.0691670454241127
"Hubei",2016,319.762018162283,33767.6,0.00946949200305273,-4.65968001598404,-0.0909541797638802
"Hubei",2017,331.61277739017,37624.2,0.00881381603835218,-4.73143478430816,-0.0717547683241202
"Hubei",2018,329.077527615371,42425.5,0.00775659750893616,-4.85921150628432,-0.127776721976167
"Hubei",2019,354.752471487353,45557,0.00778700246915629,-4.85529928530036,0.00391222098396327
"Hubei",2020,317.486104016994,43017.6,0.00738037696238271,-4.90893056276059,-0.0536312774602319
"Hubei",2021,361.054888222069,50012.9,0.00721923520175932,-4.93100625942231,-0.0220756966617142
"Hunan",2008,226.524122434642,11707.8,0.0193481373472934,-3.94515912526153,NA
"Hunan",2009,239.048511621926,12965.9,0.0184367079510042,-3.99341160439445,-0.0482524791329144
"Hunan",2010,262.153867543972,15814.9,0.0165763847728391,-4.09977620052733,-0.106364596132883
"Hunan",2011,291.884065842439,19176.4,0.015221004247014,-4.18507894666133,-0.0853027461339959
"Hunan",2012,291.222809601385,21513.7,0.0135366212971913,-4.30235657755643,-0.117277630895103
"Hunan",2013,281.202295768717,23916.3,0.0117577675379853,-4.44324118973798,-0.140884612181547
"Hunan",2014,278.68290248752,26309.1,0.0105926429443622,-4.54759558068917,-0.104354390951194
"Hunan",2015,292.525927419508,28811.7,0.0101530255909755,-4.58998353013284,-0.0423879494436736
"Hunan",2016,308.089740834207,31225,0.00986676511878965,-4.61858322811431,-0.0285996979814644
"Hunan",2017,322.954904577206,34127.7,0.00946313125634621,-4.66035195107287,-0.0417687229585662
"Hunan",2018,305.970569854121,36629.3,0.00835316453915639,-4.78511482519139,-0.124762874118513
"Hunan",2019,310.641666458315,39930.7,0.00777951967930227,-4.85626068057658,-0.0711458553851978
"Hunan",2020,302.314261143,41693.7,0.00725083792378704,-4.92663824109915,-0.0703775605225614
"Hunan",2021,310.873566230814,45751.9,0.00679476844089128,-4.99160230982706,-0.0649640687279103
"Inner Mongolia",2008,411.425066414574,6352.4,0.0647668702245724,-2.73696106832935,NA
"Inner Mongolia",2009,445.309728725966,7227,0.0616175077799869,-2.78680923161714,-0.0498481632877965
"Inner Mongolia",2010,490.621977617409,8342.1,0.0588127662839584,-2.83339633397056,-0.0465871023534148
"Inner Mongolia",2011,616.552193122076,9610.8,0.0641520157658131,-2.74649976572028,0.0868965682502729
"Inner Mongolia",2012,635.165129618301,10638.9,0.0597021430428241,-2.81838736236313,-0.0718875966428492
"Inner Mongolia",2013,590.556137667602,11584.9,0.0509763690379375,-2.97639310583592,-0.158005743472783
"Inner Mongolia",2014,600.609967350202,12377.3,0.0485251199655985,-3.02567367768698,-0.0492805718510603
"Inner Mongolia",2015,601.545969559321,13062.7,0.0460506610087747,-3.07801316223021,-0.0523394845432343
"Inner Mongolia",2016,606.107496377723,13879,0.0436708333725573,-3.13107482825578,-0.0530616660255667
"Inner Mongolia",2017,656.846847797345,15009.9,0.0437609076541047,-3.12901437944493,0.00206044881084999
"Inner Mongolia",2018,723.568563092747,16252.9,0.0445193511984167,-3.11183132594206,0.0171830535028632
"Inner Mongolia",2019,794.279374871464,17479.4,0.0454408832609508,-3.09134306679709,0.0204882591449742
"Inner Mongolia",2020,839.74307666044,17623.4,0.0476493228696188,-3.04388685948408,0.0474562073130147
